#  extra_sigma   eta1   eta2   eta3   eta4   ndim   maxNp   Np   P0   K0   phi0   ecc0   w0   staleness   vsys
# 
3.469600999999999935e-01 6.262734199999999696e-01 7.131362659999999742e+00 1.402220022000000021e+01 9.278770400000000418e-01 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.314600637999999933e+01 5.034130300000000391e-01 2.769400710000000210e+00 5.343004999999999977e-02 2.795979840000000216e+00 3.000000000000000000e+00 -3.075402847000000151e+01
3.491542100000000204e-01 1.222373199999999965e-01 1.277977190000000096e+00 3.581220574000000312e+01 3.722956350000000025e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.341058853000000006e+01 9.541027399999999492e-01 2.675751749999999873e+00 1.296799299999999988e-01 2.947302500000000158e+00 1.000000000000000000e+00 -3.087316052999999982e+01
5.739052700000000229e-01 5.798280700000000287e-01 2.491167478999999929e+01 1.288172385999999925e+01 6.035565400000000302e-01 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.104906088999999980e+01
5.209941999999999629e-01 2.349248399999999959e-01 1.489414409999999966e+00 3.575340472999999974e+01 2.521025799999999872e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.286114783000000017e+01 1.260746179999999939e+00 2.564608129999999875e+00 2.317972399999999877e-01 3.443442549999999880e+00 1.000000000000000000e+00 -3.065499995000000055e+01
1.221320099999999992e-01 8.395543100000000258e-01 1.631764790000000076e+00 1.077205112000000042e+01 3.919099769999999872e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.309778992000000031e+01 9.222938999999999998e-01 3.732044409999999868e+00 4.581236499999999934e-01 1.711563619999999952e+00 1.000000000000000000e+00 -3.110081458999999882e+01
2.886678799999999878e-01 9.452374000000000054e-01 1.233593649999999986e+00 3.070372545000000031e+01 3.378906099999999801e-01 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.616749280000000066e+00 1.133417109999999894e+00 3.910651249999999912e+00 8.608776900000000287e-01 3.915125950000000188e+00 0.000000000000000000e+00 -3.103729999999999833e+01
1.981147400000000114e-01 1.218592700000000056e-01 6.047858490000000309e+00 1.000348409999999966e+01 3.379733200000000215e-01 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.272306453000000026e+01 9.305707300000000126e-01 3.182085770000000036e+00 3.833011499999999794e-01 2.619726210000000055e+00 3.000000000000000000e+00 -3.081168544000000153e+01
4.595227499999999798e-01 7.833180899999999669e-01 4.202022200000000041e+00 2.830493394999999879e+01 4.965121550000000106e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.317404956999999932e+01 2.002028230000000075e+00 3.046999580000000041e+00 7.962960300000000435e-01 2.757130759999999903e+00 1.000000000000000000e+00 -3.088895521999999971e+01
3.802089799999999742e-01 1.063084219999999913e+00 1.863131608000000128e+01 2.928908836000000093e+01 1.297149550000000096e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.253711408000000027e+01 1.350650029999999946e+00 3.465783669999999983e+00 5.908604299999999920e-01 1.970950589999999947e+00 1.000000000000000000e+00 -3.115443621000000007e+01
4.686873100000000236e-01 1.064015100000000047e-01 1.824754470000000017e+00 1.820742505000000122e+01 1.291546429999999912e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.298286599000000052e+01 9.288033300000000381e-01 2.263659409999999816e+00 4.814350399999999808e-01 3.677473780000000136e+00 1.000000000000000000e+00 -3.068234543000000158e+01
